step,total_steps,loss,reward_avg,avg_response_len
1,50,-0.000000,0.000000,6.250000
2,50,-0.000000,0.000000,6.750000
3,50,9.016616,0.500000,56.000000
4,50,2.899756,0.250000,56.500000
5,50,7.283402,0.250000,175.750000
6,50,-7.716711,0.500000,475.250000
1,50,-0.000000,0.000000,6.250000
2,50,-0.000000,0.000000,6.750000
3,50,9.168886,0.500000,56.000000
4,50,5.333413,0.500000,106.250000
5,50,-0.888712,0.750000,303.250000
6,50,-3.238538,0.250000,508.000000
7,50,-0.000000,0.000000,384.250000
8,50,5.019539,0.750000,207.250000
9,50,-0.000000,0.000000,438.500000
10,50,-0.000000,0.000000,473.500000
11,50,-0.000000,1.000000,275.500000
12,50,-0.000000,0.000000,359.000000
13,50,-0.000000,0.000000,361.750000
14,50,-0.000000,1.000000,273.500000
15,50,-0.000000,1.000000,186.500000
16,50,-3.204418,0.750000,275.750000
17,50,-0.000000,0.000000,512.000000
18,50,-0.000000,1.000000,358.750000
19,50,-0.000000,1.000000,338.000000
20,50,7.329792,0.250000,407.000000
21,50,-9.304560,0.750000,434.000000
22,50,-13.065451,0.250000,448.500000
23,50,-0.000000,0.000000,488.500000
24,50,-21.483822,0.500000,450.250000
25,50,-4.272352,0.750000,401.000000
26,50,-0.000000,1.000000,311.000000
27,50,2.398083,0.500000,443.000000
28,50,-0.000000,1.000000,274.750000
29,50,-0.000000,0.000000,452.250000
30,50,-0.000000,1.000000,382.500000
31,50,-0.000000,1.000000,284.500000
32,50,-0.387846,0.750000,358.500000
33,50,-0.000000,1.000000,348.750000
34,50,-12.365765,0.750000,222.750000
35,50,-0.000000,1.000000,325.000000
36,50,2.218337,0.250000,450.750000
37,50,-0.000000,1.000000,321.500000
38,50,-0.000000,1.000000,132.750000
39,50,-0.000000,0.000000,432.750000
40,50,-3.611998,0.500000,471.500000
41,50,2.561689,0.750000,349.500000
42,50,5.370450,0.250000,295.500000
43,50,2.616488,0.500000,424.250000
44,50,-0.000000,0.000000,488.500000
45,50,-0.000000,1.000000,250.500000
46,50,-0.000000,1.000000,277.750000
47,50,-4.805938,0.750000,477.500000
48,50,-0.723604,0.750000,359.250000
49,50,-0.000000,0.000000,512.000000
50,50,-2.237144,0.250000,393.500000
